test_subject,clf,accuracy,f1_macro,f1_fresh,f1_fatigued,roc_auc,n_test
S01,rf,0.5205992509363296,0.42043142043142046,0.6613756613756614,0.1794871794871795,0.5416198291366906,267
S12,rf,0.5759637188208617,0.5253561253561254,0.37037037037037035,0.6803418803418804,0.6132125951841942,441
S33,rf,0.4891891891891892,0.38711119291141904,0.6372360844529751,0.136986301369863,0.5098607209737828,370
