clf,f1_median,f1_mean,acc_mean,subjects
ensemble_soft_best,0.6330318592065689,0.5970528722055766,0.6237880139445304,14
rf,0.5977106836148303,0.6222808765011836,0.6415036307594921,14
mlp,0.5607475975435274,0.5390424782073506,0.5720744550800774,14
svm_rbf,0.12223454981428275,0.24800207684558467,0.3790606618175373,14
