fold,accuracy,f1_macro
1,0.9241706161137441,0.8949393410410409
2,0.9753694581280788,0.967761320804799
3,0.8960396039603961,0.8736293882823123
4,0.9383033419023136,0.921615654367994
5,0.975,0.963891704350538
