fold,accuracy,f1_macro
1,0.5262807717897539,0.5598296609627059
2,0.6081081081081081,0.627119824442738
3,0.6494252873563219,0.677202209847348
4,0.6309611151870873,0.6446988033911818
5,0.6552511415525114,0.6696135505288137
