fold,accuracy,f1_macro
1,0.5768463073852296,0.6076453118249109
2,0.6984352773826458,0.7093313282020917
3,0.7528735632183908,0.7699689251415156
4,0.7292736610418196,0.7353686837449573
5,0.7507610350076104,0.7578920316750773
