fold,accuracy,f1_macro
1,0.9444444444444444,0.9395890494482044
2,0.8902439024390244,0.8666433201494177
3,0.8765432098765432,0.866110648331914
4,0.900709219858156,0.9108540508588252
5,0.9494163424124513,0.9430722378396798
