fold,accuracy,f1_macro
1,0.8475336322869955,0.8443618019258914
2,0.874439461883408,0.8918511612802078
3,0.9099099099099099,0.9339826839826839
4,0.8944954128440367,0.9140610651593686
5,0.8280542986425339,0.8763645876051364
